Accession Number,DF1,EF1,DF2,EF2,DF3,EF3,DF4,EF4,DF5,EF5,DF6,EF6
Q3E841,2.56E-03,1.74E-01,6.46E-04,3.16E-01,0.00E+00,0.00E+00,1.08E-02,2.99E-01,1.00E-02,2.40E-01,9.26E-03,2.08E-01
P38041,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
Q12466,---,---,---,---,1.92E-05,2.17E+00,---,---,---,---,---,---
P19881,2.88E-04,---,8.11E-05,8.95E-01,1.69E-04,2.50E+00,---,---,---,---,---,---
Q05812,---,---,---,---,3.65E-05,---,---,---,---,---,---,---
P26570,---,---,---,---,1.49E-05,1.12E-01,---,---,---,---,---,---
P38970,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
P10659,1.20E-03,---,3.66E-04,7.00E-01,4.53E-04,4.82E-01,4.13E-04,---,2.18E-04,---,1.26E-04,---
P19262,---,---,0.00E+00,0.00E+00,4.93E-05,7.77E-01,---,---,---,---,---,---
P0C2H8,4.03E-03,1.64E+00,4.50E-03,1.31E+00,8.71E-03,2.07E+00,7.36E-03,4.33E+00,4.97E-03,4.09E+00,4.55E-03,2.73E+00
P41807,---,---,7.98E-05,1.01E+00,9.09E-05,4.06E+00,---,---,---,---,---,---
P40106,7.89E-04,5.53E+00,4.58E-04,1.35E+00,6.04E-04,7.06E-01,1.65E-04,---,3.81E-04,---,4.45E-04,---
P38071,---,---,---,---,1.08E-04,4.21E+00,---,---,---,---,---,---
P21734,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.78E-04,5.15E-01,1.14E-04,2.43E-01,1.11E-04,2.12E-01
P53163,1.36E-04,4.33E-01,1.05E-03,5.42E+00,2.05E-04,7.78E-01,1.02E-03,1.03E+00,2.53E-03,2.14E+00,2.52E-03,2.48E+00
P40509,---,---,0.00E+00,0.00E+00,3.48E-05,2.49E-01,---,---,---,---,---,---
P38891,2.33E-04,1.07E+01,3.88E-04,1.34E+00,1.70E-04,7.20E-01,---,---,---,---,---,---
P25087,---,---,---,---,1.43E-04,5.60E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P25441,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
P52286,1.31E-04,1.29E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.51E-04,1.05E+00,1.04E-03,7.65E-01,1.13E-03,7.57E-01
P32478,0.00E+00,0.00E+00,9.19E-05,2.11E-01,3.22E-05,5.88E-02,2.89E-04,7.55E-01,2.61E-04,5.35E-01,2.67E-04,5.36E-01
P33204,---,---,---,---,5.23E-04,2.90E+00,---,---,---,---,---,---
Q12154,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
P38911,2.56E-04,4.10E+00,2.47E-04,3.56E+00,1.29E-04,1.02E+00,6.39E-04,5.84E+00,3.79E-04,2.88E+00,6.23E-04,1.37E+01
P07256,---,---,1.39E-04,2.20E+00,1.06E-04,---,0.00E+00,0.00E+00,2.64E-05,6.66E-01,0.00E+00,0.00E+00
P39517,---,---,---,---,9.32E-05,---,---,---,---,---,---,---
P39076,---,---,1.93E-04,3.59E+00,5.86E-05,---,---,---,---,---,---,---
O43137,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.51E-04,3.60E-02
P23639,---,---,4.07E-04,---,3.96E-04,3.37E+00,---,---,---,---,---,---
Q04371,1.10E-04,---,---,---,1.27E-04,---,---,---,---,---,---,---
P40518,1.68E-04,1.12E-01,5.79E-04,1.58E+00,0.00E+00,0.00E+00,8.30E-04,7.30E-01,1.08E-03,1.51E+00,1.18E-03,9.24E-01
P36046,0.00E+00,0.00E+00,---,---,0.00E+00,0.00E+00,3.92E-04,4.89E-01,4.15E-04,4.43E-01,2.38E-04,2.78E-01
Q12386,---,---,---,---,2.59E-05,1.08E+00,---,---,---,---,---,---
P29311,1.73E-03,1.43E+00,9.05E-04,2.76E-01,1.52E-03,5.69E-01,4.06E-03,1.04E+00,4.07E-03,1.23E+00,3.78E-03,1.04E+00
P21243,---,---,4.03E-04,2.16E+00,2.95E-04,7.05E+00,---,---,---,---,---,---
P43123,8.42E-05,---,1.87E-04,4.74E+00,1.04E-04,---,---,---,---,---,---,---
P39990,1.24E-03,5.93E+00,1.62E-03,1.02E+00,0.00E+00,0.00E+00,7.22E-04,---,9.58E-05,---,9.47E-05,---
P47117,2.02E-04,---,---,---,1.17E-04,---,---,---,---,---,---,---
P20606,---,---,---,---,3.30E-04,---,---,---,---,---,---,---
P53281,0.00E+00,0.00E+00,---,---,1.10E-04,3.66E-01,1.06E-04,2.13E-01,1.51E-04,2.34E-01,1.49E-04,3.48E-01
P43586,4.52E-04,9.93E+00,6.86E-04,7.43E+00,4.08E-04,---,---,---,---,---,---,---
P53981,2.71E-04,7.65E+00,3.71E-04,9.61E+00,4.74E-05,1.57E-01,---,---,---,---,---,---
P20434,---,---,---,---,2.25E-04,---,---,---,---,---,---,---
P34730,1.55E-03,1.35E+00,9.31E-04,2.91E-01,1.37E-03,4.80E-01,4.08E-03,1.05E+00,3.77E-03,1.13E+00,3.61E-03,1.02E+00
P46683,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P32445,6.78E-04,6.50E-01,8.49E-04,1.73E+00,7.86E-04,1.01E+01,1.76E-03,8.04E-01,1.33E-03,5.01E-01,2.55E-03,8.00E-01
P05755,---,---,2.74E-03,1.25E+00,4.07E-03,2.56E+00,7.27E-05,1.93E-01,6.26E-05,3.29E-01,1.24E-04,2.57E-01
P0C0V8,7.20E-03,1.77E-01,1.84E-02,9.33E-01,1.11E-02,7.16E-01,2.26E-02,4.84E-01,2.66E-02,6.28E-01,2.60E-02,6.78E-01
P04449,2.34E-03,4.24E+01,2.30E-03,1.44E+00,3.38E-03,1.31E+01,2.11E-03,1.71E+01,1.31E-03,---,1.58E-03,8.68E+00
P41057,---,---,3.63E-03,5.32E+00,7.53E-03,8.19E+00,3.32E-03,---,4.14E-04,---,1.57E-03,---
P46990,1.48E-03,---,5.32E-03,2.10E+00,7.25E-03,3.35E+00,2.20E-03,---,1.30E-03,---,1.20E-03,---
Q01532,---,---,1.32E-04,7.38E-01,6.86E-05,1.55E+00,---,---,---,---,---,---
P38328,---,---,---,---,1.13E-04,---,---,---,---,---,---,---
Q07505,6.85E-04,---,9.28E-05,4.39E-01,1.24E-04,1.15E+00,1.93E-04,---,1.34E-04,---,4.54E-04,---
P32598,7.17E-04,---,8.22E-05,2.72E+00,1.06E-04,5.20E-01,1.68E-04,7.15E-01,1.52E-04,2.48E+00,3.86E-05,2.56E-01
Q01939,---,---,---,---,8.46E-05,---,---,---,---,---,---,---
P53221,5.42E-03,7.05E+00,8.71E-03,7.84E+00,1.08E-02,6.64E+00,5.27E-03,3.68E+01,3.77E-03,5.25E+00,3.36E-03,1.52E+01
P05744,9.65E-04,---,2.14E-03,1.42E+00,4.98E-03,3.06E+00,---,---,---,---,---,---
P32468,---,---,1.88E-04,8.12E+00,1.09E-04,---,---,---,---,---,---,---
P09457,---,---,---,---,3.16E-04,---,7.24E-04,---,3.87E-04,8.56E+00,3.99E-04,---
P00729,2.58E-05,5.06E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.98E-04,3.17E-01,4.59E-05,8.34E-02,9.14E-05,1.67E-01
P40959,---,---,---,---,4.03E-05,---,---,---,---,---,---,---
Q00764,1.11E-04,---,0.00E+00,0.00E+00,8.77E-05,4.06E+00,---,---,---,---,---,---
Q12446,0.00E+00,0.00E+00,---,---,4.20E-05,1.25E+00,---,---,---,---,---,---
P57744,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P32623,---,---,---,---,1.14E-04,1.27E+00,---,---,---,---,---,---
P46969,---,---,---,---,4.80E-05,2.23E-01,---,---,---,---,---,---
P40217,---,---,---,---,1.06E-04,1.15E+00,---,---,---,---,---,---
Q12104,---,---,2.76E-05,1.47E-01,0.00E+00,0.00E+00,---,---,---,---,---,---
P32463,7.23E-04,9.10E-01,7.12E-04,1.87E+00,1.06E-04,1.85E-01,1.02E-04,1.15E-01,4.77E-04,5.45E-01,1.93E-04,2.58E-01
P02992,---,---,---,---,9.43E-05,---,---,---,---,---,---,---
Q12213,6.46E-04,---,2.82E-03,8.42E-01,4.32E-03,1.78E+00,0.00E+00,---,0.00E+00,---,1.47E-04,---
P32381,6.51E-05,2.74E+00,3.24E-05,2.67E-01,1.43E-04,5.31E+00,6.53E-05,---,0.00E+00,0.00E+00,6.11E-05,2.59E+00
Q04178,---,---,0.00E+00,0.00E+00,5.17E-05,3.61E-01,6.41E-05,---,1.05E-04,---,1.08E-04,---
P87108,0.00E+00,0.00E+00,2.72E-04,3.36E-01,4.08E-04,---,4.77E-03,3.85E-01,9.77E-03,7.40E-01,8.42E-03,7.14E-01
P39078,---,---,1.69E-04,---,3.90E-05,---,---,---,---,---,---,---
P05453,---,---,---,---,6.34E-05,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q04491,---,---,---,---,7.69E-05,5.59E-01,---,---,---,---,---,---
Q08004,---,---,---,---,1.24E-04,1.95E+00,---,---,---,---,---,---
P20051,---,---,5.24E-04,1.95E+01,8.49E-05,1.52E+00,2.21E-03,6.69E+00,1.67E-03,8.26E+00,1.61E-03,---
Q06245,---,---,---,---,2.62E-05,---,---,---,---,---,---,---
P53301,1.05E-04,7.60E-01,2.50E-05,2.23E-01,0.00E+00,0.00E+00,5.32E-05,1.46E+00,9.58E-05,---,2.38E-05,---
P40047,---,---,4.87E-05,1.35E+00,6.51E-05,3.17E+00,---,---,---,---,---,---
Q12136,4.18E-05,---,---,---,0.00E+00,0.00E+00,2.10E-05,7.05E-01,0.00E+00,---,0.00E+00,---
P39729,---,---,---,---,5.58E-05,---,---,---,---,---,---,---
P25349,---,---,---,---,2.71E-04,---,5.35E-04,7.31E+00,8.25E-04,1.14E+01,5.90E-04,---
P38861,---,---,---,---,7.11E-05,---,---,---,---,---,---,---
P09624,1.28E-04,---,---,---,0.00E+00,0.00E+00,8.34E-04,---,4.06E-04,---,5.93E-04,3.22E+01
P11484,3.26E-03,2.21E+00,6.39E-03,1.08E+00,5.83E-03,9.20E-01,4.54E-03,2.09E+00,3.96E-03,1.90E+00,4.05E-03,1.95E+00
P49626,---,---,3.30E-03,1.05E+00,4.00E-03,1.41E+00,---,---,---,---,---,---
P32419,---,---,---,---,9.98E-05,---,---,---,---,---,---,---
P33330,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
Q02753,---,---,2.46E-03,1.66E+00,3.05E-03,2.37E+00,---,---,---,---,---,---
P23293,---,---,---,---,3.47E-05,2.17E+00,---,---,---,---,---,---
P27637,1.80E-05,1.18E-01,---,---,1.61E-05,5.83E-01,2.00E-05,7.40E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P36060,---,---,1.27E-04,---,2.22E-04,---,1.45E-03,3.37E+00,1.31E-03,3.89E+00,1.21E-03,2.78E+00
Q06406,0.00E+00,0.00E+00,---,---,3.09E-04,4.28E-01,2.13E-03,1.54E+00,8.29E-04,6.43E-01,7.19E-04,4.39E-01
P39938,---,---,3.52E-03,1.63E+00,3.87E-03,1.77E+00,1.43E-03,---,8.07E-04,3.59E+00,9.28E-04,---
P41056,---,---,2.26E-03,2.53E+00,4.62E-03,3.02E+00,---,---,---,---,---,---
P32807,---,---,---,---,3.79E-05,---,---,---,---,---,---,---
P05743,5.00E-03,5.99E+00,8.61E-03,6.41E+00,1.05E-02,6.46E+00,---,---,---,---,---,---
Q04062,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
P50623,---,---,---,---,2.35E-04,3.76E+00,9.14E-04,---,4.57E-04,---,4.63E-04,---
P51401,---,---,2.06E-03,2.18E+00,2.65E-03,3.13E+00,---,---,---,---,---,---
P19358,1.17E-03,---,3.31E-04,8.85E-01,4.48E-04,5.23E-01,5.51E-04,1.11E+01,2.18E-04,3.08E+00,9.62E-05,1.97E+00
Q08601,---,---,5.94E-05,9.12E-01,0.00E+00,0.00E+00,0.00E+00,---,5.51E-05,---,1.11E-04,---
Q12522,1.58E-04,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
P47001,2.38E-04,8.98E-02,5.61E-04,6.36E-01,5.03E-05,1.42E-01,0.00E+00,0.00E+00,2.64E-04,4.67E-01,5.26E-05,1.42E-01
P54113,---,---,4.28E-05,6.81E-01,0.00E+00,0.00E+00,1.30E-04,---,5.07E-04,---,5.61E-04,---
P24000,2.42E-03,4.39E+01,2.30E-03,1.33E+00,2.85E-03,8.86E+00,2.38E-03,3.86E+01,1.39E-03,---,1.58E-03,---
P27882,---,---,---,---,2.11E-04,---,0.00E+00,0.00E+00,6.46E-05,---,0.00E+00,---
Q06449,0.00E+00,0.00E+00,---,---,6.18E-05,2.57E-01,2.07E-03,1.42E+00,3.01E-03,2.20E+00,2.67E-03,1.80E+00
P15496,5.95E-04,6.53E+00,---,---,4.61E-05,6.21E-01,2.36E-04,---,2.50E-04,---,4.28E-04,---
P39111,2.19E-04,2.86E-01,1.07E-04,1.48E-01,0.00E+00,0.00E+00,2.17E-04,2.77E-01,2.02E-04,2.01E-01,4.07E-04,3.67E-01
Q12434,---,---,---,---,1.31E-04,2.52E+00,---,---,---,---,---,---
P53228,---,---,---,---,9.61E-05,---,---,---,---,---,---,---
Q08045,---,---,---,---,4.70E-04,---,6.07E-04,---,8.21E-04,---,5.62E-04,8.00E+00
Q04409,1.57E-04,---,---,---,5.31E-05,1.26E+00,7.66E-05,---,0.00E+00,---,4.77E-05,---
P50109,---,---,---,---,8.96E-05,---,---,---,---,---,---,---
P05373,---,---,3.70E-05,4.38E-01,1.34E-04,---,---,---,---,---,---,---
P53889,---,---,---,---,1.32E-04,1.62E+00,---,---,---,---,---,---
P32473,---,---,2.08E-04,2.69E+00,2.81E-05,3.51E-01,---,---,---,---,---,---
P38145,---,---,---,---,4.33E-05,3.26E-01,---,---,---,---,---,---
P38841,0.00E+00,0.00E+00,---,---,0.00E+00,0.00E+00,2.24E-04,2.53E-01,1.07E-04,7.83E-02,0.00E+00,0.00E+00
P40202,---,---,---,---,9.17E-05,1.17E+00,5.13E-05,---,4.66E-05,---,2.88E-04,7.52E+00
Q12117,4.44E-04,---,---,---,2.19E-04,---,---,---,---,---,---,---
Q00402,---,---,---,---,8.58E-06,2.20E+00,---,---,---,---,---,---
P46654,---,---,3.94E-03,1.51E+00,2.59E-03,1.04E+00,0.00E+00,---,0.00E+00,0.00E+00,2.39E-04,9.15E-01
P39003,5.09E-04,1.60E+00,---,---,1.06E-04,---,2.05E-04,9.76E-01,3.34E-04,5.31E+00,2.99E-04,2.27E+00
P34078,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
P40005,1.15E-04,4.83E-01,---,---,5.71E-04,---,4.62E-04,---,1.29E-03,---,9.88E-04,---
P07260,---,---,---,---,1.11E-04,4.67E-01,4.93E-04,---,8.97E-04,4.16E+00,1.04E-03,3.93E+00
P19657,---,---,---,---,6.43E-04,6.22E+01,---,---,---,---,---,---
P10356,---,---,---,---,5.99E-05,2.52E+00,---,---,---,---,---,---
P40434,---,---,---,---,1.76E-05,2.93E+00,---,---,---,---,---,---
O13516,3.27E-04,---,---,---,3.73E-03,2.55E+00,---,---,---,---,---,---
P38985,---,---,---,---,2.27E-04,3.10E+00,---,---,---,---,---,---
P39939,---,---,---,---,3.76E-03,1.72E+00,---,---,---,---,---,---
Q08193,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.91E-04,7.76E-01,1.74E-04,1.15E+00,1.75E-04,6.49E-01
P50106,0.00E+00,0.00E+00,7.44E-04,---,1.94E-04,6.25E-01,0.00E+00,0.00E+00,1.05E-03,1.12E+00,8.00E-04,6.52E-01
P53379,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---,---,---,---,---,---
Q08230,---,---,---,---,2.46E-04,---,---,---,---,---,---,---
P32466,---,---,---,---,8.71E-05,---,---,---,---,---,---,---
P53095,---,---,---,---,6.20E-05,---,5.96E-05,---,0.00E+00,---,0.00E+00,---
P41939,---,---,1.85E-04,6.67E-01,1.83E-04,---,3.30E-04,1.50E+01,2.81E-05,1.31E+00,1.85E-04,8.27E+00
P16603,---,---,---,---,3.84E-05,1.31E+00,---,---,---,---,---,---
P40989,---,---,---,---,3.50E-05,---,---,---,---,---,---,---
P32793,0.00E+00,0.00E+00,---,---,5.67E-05,---,2.19E-04,1.23E+00,4.34E-04,4.37E+00,2.58E-04,1.29E+00
P00812,---,---,---,---,1.20E-04,---,4.26E-05,7.84E-01,1.43E-04,5.37E+00,2.29E-04,---
P40007,---,---,---,---,1.72E-04,---,---,---,---,---,---,---
P0C2H9,2.98E-03,1.72E+00,---,---,7.99E-03,1.90E+00,7.01E-03,4.32E+00,4.45E-03,3.66E+00,3.89E-03,2.34E+00
P40463,---,---,---,---,6.09E-05,---,2.12E-04,2.04E+00,6.63E-04,7.99E+00,4.77E-04,---
P35184,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
Q12447,---,---,5.33E-04,5.20E+00,2.97E-04,---,3.56E-04,---,1.87E-04,---,6.72E-05,---
Q01519,0.00E+00,0.00E+00,3.07E-04,2.99E-01,1.60E-04,3.19E-01,5.76E-03,4.55E-01,7.36E-03,6.07E-01,6.32E-03,4.78E-01
P08518,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
P53319,---,---,5.43E-04,8.27E-01,3.52E-04,4.31E-01,2.68E-04,6.90E+00,7.42E-05,2.06E+00,1.77E-04,4.65E+00
P35845,0.00E+00,0.00E+00,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---,2.01E-05,---
P32563,---,---,---,---,4.52E-05,---,---,---,---,---,---,---
P23641,---,---,---,---,1.28E-04,---,---,---,---,---,---,---
Q3E7X9,1.75E-03,2.17E+00,4.55E-03,2.93E+00,3.76E-03,2.03E+00,1.38E-03,4.82E+00,1.44E-03,---,9.07E-04,2.16E+00
Q03868,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
Q01217,---,---,7.35E-05,---,2.65E-05,---,---,---,---,---,---,---
P32263,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
P00045,1.07E-02,4.77E+00,1.58E-03,---,6.87E-04,---,1.02E-02,3.44E+00,8.56E-03,2.63E+00,8.66E-03,2.99E+00
P47110,---,---,---,---,5.89E-05,---,---,---,---,---,---,---
P33338,---,---,---,---,1.37E-05,4.41E-01,---,---,---,---,---,---
P39708,4.85E-04,---,0.00E+00,0.00E+00,3.47E-04,4.95E+00,2.89E-04,9.58E-01,1.58E-04,4.91E-01,1.90E-04,8.41E-01
P32895,---,---,---,---,4.82E-05,1.93E+00,---,---,---,---,---,---
P49095,---,---,0.00E+00,0.00E+00,3.10E-05,---,---,---,---,---,---,---
P09620,---,---,---,---,2.83E-05,---,---,---,---,---,---,---
P28000,9.66E-05,5.96E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.41E-04,6.58E-01,3.50E-04,2.31E-01
P41058,---,---,---,---,5.44E-03,---,2.15E-03,---,6.38E-04,---,0.00E+00,---
P21182,---,---,---,---,5.77E-05,---,---,---,---,---,---,---
P0CF18,---,---,---,---,5.28E-05,---,---,---,---,---,---,---
Q06205,1.95E-04,---,---,---,1.49E-04,---,9.77E-05,---,8.87E-05,1.23E+00,1.88E-04,---
P32901,---,---,---,---,3.80E-05,---,---,---,---,---,---,---
P38291,---,---,---,---,1.90E-04,---,---,---,---,---,---,---
P40561,---,---,---,---,4.57E-05,3.61E-01,1.01E-03,1.35E+01,8.15E-04,2.25E+01,5.86E-04,1.59E+01
P25558,---,---,---,---,1.62E-05,---,---,---,---,---,---,---
P32905,1.46E-03,1.08E+01,---,---,2.42E-03,1.03E+00,1.01E-03,5.55E+00,3.33E-04,6.99E-01,6.39E-04,1.91E+00
P36094,---,---,---,---,7.32E-05,2.48E+00,0.00E+00,---,9.72E-05,---,3.29E-05,1.30E+00
P13186,2.39E-05,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
P50275,---,---,4.29E-05,---,2.58E-05,---,---,---,---,---,---,---
P39567,2.00E-04,---,---,---,5.54E-04,1.35E+00,1.41E-04,6.23E+00,6.06E-05,---,9.55E-05,4.18E+00
P38113,---,---,7.21E-05,---,2.44E-04,---,4.01E-04,---,2.06E-04,3.78E+00,3.76E-04,---
P20095,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
P40457,---,---,2.28E-05,3.91E+00,1.23E-05,---,---,---,---,---,---,---
Q12165,2.39E-04,5.03E-02,4.77E-04,3.90E+00,0.00E+00,0.00E+00,8.98E-04,3.72E-01,1.57E-03,4.65E-01,9.15E-04,2.69E-01
P49435,---,---,---,---,1.10E-04,---,---,---,---,---,---,---
P03871,---,---,---,---,1.07E-04,---,---,---,---,---,---,---
Q08108,---,---,---,---,3.00E-05,---,---,---,---,---,---,---
P38689,---,---,2.38E-04,---,6.44E-05,---,---,---,---,---,---,---
P36052,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
P32916,---,---,---,---,4.28E-05,---,---,---,---,---,---,---
P32908,0.00E+00,0.00E+00,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
P32600,---,---,---,---,9.23E-06,---,---,---,---,---,---,---
P40960,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
P53125,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
P43585,---,---,---,---,2.49E-05,---,---,---,---,---,---,---
P40354,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---,---,---,---,---,---
Q12672,---,---,---,---,2.84E-03,3.70E+00,---,---,---,---,---,---
P38009,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
P50278,---,---,---,---,7.11E-05,---,---,---,---,---,---,---
P40450,---,---,---,---,1.50E-05,---,9.32E-06,1.34E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P54780,---,---,---,---,2.91E-03,2.13E+00,---,---,---,---,---,---
P27810,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
P53008,---,---,3.08E-05,2.76E+00,0.00E+00,0.00E+00,---,---,---,---,---,---
P53318,---,---,---,---,4.30E-05,---,---,---,---,---,---,---
P32178,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
Q03532,---,---,---,---,4.08E-05,---,---,---,---,---,---,---
Q06493,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
P38849,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
P49334,6.74E-04,1.26E+00,---,---,---,---,4.21E-04,1.01E-01,4.72E-04,1.08E-01,7.25E-04,1.55E-01
Q12122,1.79E-04,---,---,---,---,---,5.81E-05,---,8.26E-05,---,5.47E-05,1.29E+00
Q07418,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---,---,0.00E+00,0.00E+00,3.39E-05,7.05E-02,3.49E-05,7.97E-02
P36143,0.00E+00,0.00E+00,---,---,---,---,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P40554,1.29E-04,2.01E-01,---,---,---,---,---,---,---,---,---,---
Q06580,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q02784,4.41E-04,1.32E-01,0.00E+00,0.00E+00,---,---,1.14E-03,5.14E-01,1.52E-03,7.26E-01,1.22E-03,6.06E-01
P25296,0.00E+00,0.00E+00,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P43597,0.00E+00,0.00E+00,---,---,---,---,1.04E-05,1.77E-01,2.92E-05,2.80E-01,5.98E-05,6.60E-01
Q03390,5.64E-05,3.78E-01,---,---,---,---,0.00E+00,---,1.59E-04,4.03E+00,1.05E-04,---
P06704,0.00E+00,0.00E+00,---,---,---,---,0.00E+00,0.00E+00,1.50E-04,3.30E-01,1.48E-04,4.27E-01
P46949,6.28E-05,9.50E-01,---,---,---,---,0.00E+00,0.00E+00,2.96E-05,2.52E+00,0.00E+00,0.00E+00
P47018,1.91E-04,2.79E-01,0.00E+00,0.00E+00,---,---,1.16E-04,2.72E-01,1.24E-04,1.67E-01,1.33E-04,2.95E-01
Q12114,0.00E+00,0.00E+00,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P39105,0.00E+00,0.00E+00,---,---,---,---,1.16E-04,2.19E-01,3.24E-04,7.34E-01,4.06E-04,9.30E-01
Q6WNK7,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
Q3E7Z5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---,---,3.91E-04,1.95E-01,1.75E-04,8.21E-02,0.00E+00,0.00E+00
P53900,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P13517,9.56E-05,---,---,---,---,---,---,---,---,---,---,---
P20435,1.72E-04,2.67E-02,4.11E-04,5.51E-01,---,---,6.78E-04,3.67E-01,1.54E-03,7.21E-01,7.01E-04,2.52E-01
P40089,1.39E-04,1.46E-01,---,---,---,---,4.42E-04,2.23E-01,1.31E-04,7.32E-02,1.38E-04,6.84E-02
P00724,1.24E-04,5.21E-01,---,---,---,---,4.00E-04,1.44E+00,1.99E-04,1.20E+01,1.67E-04,1.61E+00
P12630,3.12E-04,6.55E-01,---,---,---,---,---,---,---,---,---,---
P00635,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---
P40154,0.00E+00,0.00E+00,---,---,---,---,0.00E+00,0.00E+00,1.87E-04,2.13E+00,7.46E-05,6.37E-01
P23594,1.09E-04,---,---,---,---,---,1.46E-04,5.64E+00,0.00E+00,---,1.37E-04,5.48E+00
Q03180,0.00E+00,0.00E+00,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q12091,0.00E+00,0.00E+00,---,---,---,---,4.21E-04,4.64E-01,4.70E-04,5.60E-01,8.10E-04,1.20E+00
P39929,0.00E+00,0.00E+00,---,---,---,---,0.00E+00,0.00E+00,4.47E-04,---,4.10E-04,---
Q3E829,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P38239,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
Q03323,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P46984,0.00E+00,0.00E+00,6.23E-04,1.16E+00,---,---,0.00E+00,0.00E+00,9.72E-04,4.18E-01,5.92E-04,2.58E-01
Q04964,0.00E+00,0.00E+00,---,---,---,---,0.00E+00,---,6.97E-04,---,4.69E-04,---
P32319,2.54E-05,---,---,---,---,---,---,---,---,---,---,---
Q04773,8.91E-05,2.06E-02,1.31E-03,2.02E+01,---,---,0.00E+00,0.00E+00,2.55E-03,1.25E+00,8.35E-04,3.15E-01
P47136,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
P46992,2.34E-04,2.07E+00,---,---,---,---,4.30E-04,1.43E+00,5.71E-04,1.76E+00,5.00E-04,1.76E+00
P38345,0.00E+00,0.00E+00,---,---,---,---,9.25E-05,3.75E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q05942,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---
