,,,,,,,,,,"(+) 10 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 100 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 0.1 mM cys",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 0.8 mM NaCl",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 3.0 mM NaCl",,,,,
Probable RNA exonuclease NGL3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NGL3 PE=1 SV=1,NGL3 YML118W YM7056.08 YM8339.01,Q03210,7.06,505,57742.26,3,0,0,endonuclease activity; poly(A)-specific ribonuclease activity; polyadenylation-dependent RNA catabolic process,---,---,---,---,---,0.00E+00,0.00E+00,3.68E-05,6.37E-05,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Ubiquitin carboxyl-terminal hydrolase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBP3 PE=1 SV=1,UBP3 YER151C,Q01477,7.66,912,101916.73,3,0,0,cytoplasm; mRNA binding; protein deubiquitination; regulation of ER to Golgi vesicle-mediated transport; regulation of response to osmotic stress; ribophagy; ubiquitin thiolesterase activity; ubiquitin-dependent protein catabolic process; ubiquitin-specific protease activity,---,---,---,---,---,0.00E+00,0.00E+00,2.07E-05,3.58E-05,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
"54S ribosomal protein L32, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL32 PE=1 SV=1",MRPL32 YCR003W YCR041 YCR3W,P25348,9.89,183,13374.59,0,0,Mitochondrion. ,mitochondrial inner membrane; mitochondrial large ribosomal subunit; mitochondrial translation; structural constituent of ribosome,---,---,---,---,---,0.00E+00,0.00E+00,1.07E-04,1.85E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Protein ZDS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ZDS1 PE=1 SV=1,ZDS1 CES1 CKM1 HST1 NRC1 OSS1 STM2 YMR273C YM8156.15C,P50111,5.95,915,103358.41,0,0,Cytoplasm. ,cell aging; cell shape checkpoint; cellular bud neck; cellular bud tip; chromatin silencing; cytoplasm; establishment of cell polarity; incipient cellular bud site; mRNA export from nucleus; nuclear pore; positive regulation of G2/M transition of mitotic cell cycle; protein phosphatase type 2A regulator activity; regulation of protein localization,---,---,---,---,---,0.00E+00,0.00E+00,2.06E-05,3.57E-05,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Lysophosphatidic acid:oleoyl-CoA acyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LOA1 PE=1 SV=1,LOA1 VPS66 YPR139C,Q06508,9.72,300,33815.92,2,0,Lipid droplet. Endoplasmic reticulum membrane; Single-pass membrane protein. ,cellular triglyceride homeostasis; endoplasmic reticulum; endoplasmic reticulum membrane; integral to membrane; lipid particle; lipid particle organization; lysophosphatidic acid acyltransferase activity; protein targeting to vacuole,---,---,---,---,---,8.44E-05,1.46E-04,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
"Cytochrome c oxidase polypeptide 5A, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX5A PE=1 SV=1",COX5A YNL052W N2474 YNL2474W,P00424,9.19,153,14874.83,1,0,Mitochondrion inner membrane. ,"cytochrome-c oxidase activity; integral to membrane; mitochondrial electron transport, cytochrome c to oxygen; mitochondrial intermembrane space; mitochondrial respiratory chain complex IV",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3.10E-03,3.80E-04,3.66E-03,6.17E-04,8.48E-01,4.61E-03,4.74E-04,2.22E-03,7.27E-05,2.08E+00,5.02E-03,1.35E-03,2.75E-03,5.32E-04,1.82E+00,
Inositol-3-phosphate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=INO1 PE=1 SV=3,INO1 YJL153C J0610,P11986,5.63,533,59642.06,5,Polyol metabolism; myo-inositol biosynthesis; myo-inositol from D-glucose 6-phosphate: step 1/2. ,Cytoplasm. ,cytoplasm; inositol biosynthetic process; inositol-3-phosphate synthase activity; phospholipid biosynthetic process,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,9.99E-04,2.03E-04,6.07E-04,1.76E-04,1.65E+00,5.15E-04,9.11E-05,9.31E-04,1.58E-04,5.53E-01,6.01E-04,1.05E-04,8.78E-04,1.37E-04,6.84E-01,
mRNA-decapping enzyme subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DCP2 PE=1 SV=1,DCP2 PSU1 YNL118C N1917,P53550,5.63,970,108667.14,3,0,Cytoplasm â€º P-body. ,"cytoplasmic mRNA processing body; deadenylation-dependent decapping of nuclear-transcribed mRNA; deadenylation-independent decapping of nuclear-transcribed mRNA; m7G(5')pppN diphosphatase activity; mRNA binding; mRNA processing; manganese ion binding; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; nucleus; stress granule assembly",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,4.71E-05,1.52E-05,0.00E+00,1.35E-04,5.41E-05,8.62E-05,6.02E-05,1.57E+00,7.44E-05,9.86E-05,3.85E-05,1.60E-05,1.93E+00,
Inorganic phosphate transport protein PHO88 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHO88 PE=1 SV=1,PHO88 YBR106W YBR0835,P38264,9.21,188,21136.86,0,0,Mitochondrion. Membrane; Single-pass membrane protein. ,integral to membrane; membrane; mitochondrion; phosphate ion transport,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,6.27E-04,1.82E-04,4.40E-04,2.86E-04,1.43E+00,1.20E-03,2.60E-04,2.93E-04,1.20E-05,4.11E+00,8.93E-04,7.73E-04,3.99E-04,1.73E-04,2.24E+00,
Meiotic sister chromatid recombination protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSC1 PE=1 SV=1,MSC1 YML128C YM4987.07C,Q03104,7.06,513,59588.57,0,0,0,endoplasmic reticulum; mitochondrion; plasma membrane; reciprocal meiotic recombination,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,7.74E-05,7.48E-05,4.48E-04,4.85E-05,1.73E-01,3.04E-04,4.66E-05,3.05E-04,4.04E-05,9.97E-01,1.89E-04,1.05E-04,3.10E-04,5.78E-05,6.09E-01,
Mitochondrial peculiar membrane protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MPM1 PE=1 SV=1,MPM1 YJL066C HRE252 J1111,P40364,5.59,252,28470,0,0,Mitochondrion membrane; Peripheral membrane protein. ,extrinsic to membrane; mitochondrial intermembrane space; mitochondrial membrane,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2.03E-04,1.76E-04,2.05E-03,2.00E-04,9.91E-02,3.78E-04,3.28E-04,1.74E-03,2.49E-04,2.17E-01,4.36E-04,2.44E-04,1.97E-03,2.05E-04,2.21E-01,
Assembly factor CBP4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CBP4 PE=1 SV=3,CBP4 YGR174C G7122,P37267,9.15,147,17531.95,0,0,Mitochondrion inner membrane; Single-pass membrane protein. ,integral to mitochondrial membrane; mitochondrial inner membrane; mitochondrial respiratory chain complex III assembly,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,2.63E-03,1.90E-04,0.00E+00,2.45E-03,4.81E-04,2.61E-03,2.52E-04,9.37E-01,1.58E-03,1.01E-03,2.04E-03,4.64E-04,7.76E-01,
"Cytochrome c oxidase subunit 6A, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX13 PE=1 SV=1",COX13 YGL191W G1341,P32799,6.4,129,13836.69,0,0,Mitochondrion inner membrane. ,aerobic respiration; cytochrome-c oxidase activity; enzyme regulator activity; integral to membrane; mitochondrial respiratory chain complex IV; mitochondrial respiratory chain supercomplex assembly,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.29E-03,1.13E-03,3.51E-03,8.73E-04,3.68E-01,4.63E-03,4.47E-04,1.43E-03,3.08E-04,3.24E+00,4.25E-03,1.11E-03,1.31E-03,3.79E-04,3.25E+00,
"Respiratory supercomplex factor 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RCF1 PE=1 SV=1",RCF1 AIM31 YML030W,Q03713,9.16,159,18477.41,0,0,Mitochondrion membrane; Multi-pass membrane protein. ,integral to mitochondrial inner membrane; mitochondrial respiratory chain complex IV; mitochondrial respiratory chain complex IV assembly; mitochondrial respiratory chain supercomplex; mitochondrial respiratory chain supercomplex assembly,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,6.43E-04,7.36E-04,2.07E-03,5.75E-04,3.10E-01,1.97E-03,7.37E-04,1.44E-03,2.38E-04,1.37E+00,2.51E-03,1.15E-03,1.06E-03,1.69E-04,2.37E+00,
Putative metallocarboxypeptidase ECM14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ECM14 PE=1 SV=1,ECM14 YHR132C,P38836,5.07,430,47238.96,3,0,Vacuole. ,fungal-type vacuole; metallocarboxypeptidase activity; metalloendopeptidase activity; proteolysis; zinc ion binding,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,7.33E-04,1.49E-04,5.77E-04,4.66E-05,1.27E+00,3.90E-04,5.78E-05,8.10E-04,1.57E-04,4.82E-01,3.69E-04,1.90E-04,6.76E-04,1.41E-04,5.45E-01,
Protein EAP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EAP1 PE=1 SV=1,EAP1 YKL204W,P36041,9.49,632,69762.12,0,0,Cytoplasm. ,ATP binding; cytoplasmic stress granule; mRNA cap binding complex; negative regulation of translation; regulation of growth,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.21E-04,1.21E-04,1.44E-05,2.49E-05,8.44E+00,2.64E-04,2.29E-04,7.27E-05,2.60E-05,3.63E+00,1.33E-04,1.19E-04,5.88E-05,5.09E-05,2.26E+00,
Mitochondrial import receptor subunit TOM40 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOM40 PE=1 SV=1,TOM40 ISP42 MOM38 YMR203W YM8325.04,P23644,5.34,387,42038.41,0,0,Mitochondrion outer membrane; Multi-pass membrane protein. ,cytosol; integral to membrane; ion transport; mitochondrial intermembrane space; mitochondrial outer membrane translocase complex; pore complex; porin activity; protein channel activity; protein import into mitochondrial matrix,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3.71E-04,1.99E-04,6.18E-04,2.17E-05,6.00E-01,3.11E-04,1.14E-04,6.40E-04,2.62E-05,4.86E-01,4.11E-04,4.61E-05,6.07E-04,1.58E-04,6.78E-01,
Protein transport protein SEC7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC7 PE=1 SV=2,SEC7 YDR170C YD9395.01C YD9489.05C,P11075,4.68,2009,226885.99,0,0,Cytoplasm. Golgi apparatus. ,ARF guanyl-nucleotide exchange factor activity; ER to Golgi vesicle-mediated transport; Golgi-associated vesicle; autophagic vacuole assembly; cytosol; integral to membrane; intra-Golgi vesicle-mediated transport; late endosome; protein transport; regulation of ARF protein signal transduction; trans-Golgi network,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,2.28E-05,7.33E-06,0.00E+00,0.00E+00,0.00E+00,2.33E-05,2.17E-05,0.00E+00,6.00E-06,1.04E-05,2.38E-05,4.12E-05,2.52E-01,
"D-lactate dehydrogenase [cytochrome] 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DLD1 PE=1 SV=2",DLD1 DLD YDL174C,P32891, UNDEFINED,587,0,1,0,Mitochondrion inner membrane. ,D-lactate dehydrogenase (cytochrome) activity; UDP-N-acetylmuramate dehydrogenase activity; aerobic respiration; cellular carbohydrate metabolic process; flavin adenine dinucleotide binding; mitochondrial inner membrane; mitochondrial intermembrane space,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.57E-04,3.48E-05,1.41E-04,4.80E-06,1.11E+00,1.83E-04,5.69E-05,4.56E-05,4.53E-05,4.00E+00,1.65E-04,9.17E-05,1.57E-05,2.72E-05,1.05E+01,
Uncharacterized protein YJL213W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YJL213W PE=4 SV=1,YJL213W HRC331 J0234,P40896,6.61,331,35905.35,0,0,0,hydrolase activity,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.50E-03,4.11E-04,1.11E-04,4.52E-05,1.36E+01,9.42E-04,1.85E-04,1.39E-04,5.14E-05,6.75E+00,9.21E-04,2.02E-04,1.98E-04,4.55E-05,4.66E+00,
Protein PET10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PET10 PE=1 SV=3,PET10 YKR046C,P36139,7.77,283,31115.17,0,0,Lipid droplet. Membrane; Peripheral membrane protein. ,aerobic respiration; lipid particle; membrane,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.36E-04,1.36E-04,1.08E-03,1.29E-04,1.26E-01,2.96E-04,2.67E-04,1.00E-03,1.12E-04,2.95E-01,8.44E-05,1.46E-04,1.09E-03,7.90E-05,7.72E-02,
Conserved oligomeric Golgi complex subunit 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COG8 PE=1 SV=1,COG8 DOR1 YML071C,Q04632,4.63,607,69829.07,0,0,Golgi apparatus membrane; Peripheral membrane protein. ,CVT pathway; Golgi membrane; Golgi transport complex; intra-Golgi vesicle-mediated transport,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,1.06E-04,2.51E-05,0.00E+00,0.00E+00,0.00E+00,1.51E-04,2.50E-05,0.00E+00,2.11E-05,3.66E-05,7.69E-05,2.58E-05,2.75E-01,
"Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIP1 PE=1 SV=1",RIP1 YEL024W,P08067,5.94,215,20098.97,1,0,Mitochondrion inner membrane; Single-pass membrane protein. ,"2 iron, 2 sulfur cluster binding; aerobic respiration; integral to membrane; metal ion binding; mitochondrial electron transport, ubiquinol to cytochrome c; mitochondrial respiratory chain complex III; ubiquinol-cytochrome-c reductase activity",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,7.33E-04,1.52E-04,1.04E-03,3.80E-04,7.08E-01,1.22E-03,6.29E-05,7.69E-04,1.37E-04,1.59E+00,7.84E-04,5.30E-04,7.83E-04,1.16E-04,1.00E+00,
Altered inheritance of mitochondria protein 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM6 PE=1 SV=2,AIM6 YDL237W,Q07716,5.19,390,41701.25,0,0,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3.32E-04,1.99E-04,4.47E-04,9.53E-05,7.42E-01,1.23E-04,5.45E-05,6.54E-04,1.22E-04,1.88E-01,2.15E-04,1.92E-04,5.76E-04,3.29E-04,3.74E-01,
Stationary phase gene 1 protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPG1 PE=1 SV=2,SPG1 YGR236C G8578,P50088,8.01,95,10545.23,0,0,Mitochondrion membrane; Single-pass membrane protein. ,integral to membrane; mitochondrial membrane; mitochondrion,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4.18E-04,2.51E-05,1.64E-03,5.58E-04,2.56E-01,4.79E-03,8.66E-04,1.05E-03,5.68E-04,4.55E+00,4.51E-03,7.09E-04,8.01E-04,9.23E-04,5.63E+00,
Transcriptional regulatory protein SIN3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIN3 PE=1 SV=2,SIN3 CPE1 GAM2 RPD1 SDI1 SDS16 UME4 YOL004W,P22579,5.39,1536,174839.22,0,0,Nucleus. ,"Rpd3L complex; Rpd3L-Expanded complex; Rpd3S complex; cell division; double-strand break repair via nonhomologous end joining; histone deacetylation; negative regulation of chromatin silencing at rDNA; negative regulation of chromatin silencing at silent mating-type cassette; negative regulation of chromatin silencing at telomere; negative regulation of transcription during meiosis; negative regulation of transcription from RNA polymerase I promoter; negative regulation of transcription from RNA polymerase II promoter; positive regulation of transcription from RNA polymerase II promoter in response to heat stress; regulation of DNA-dependent DNA replication initiation; regulation of transcription involved in G2/M-phase of mitotic cell cycle; transcription coactivator activity; transcription corepressor activity; transcription, DNA-dependent",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,1.21E-05,1.05E-05,0.00E+00,0.00E+00,0.00E+00,1.84E-05,1.87E-05,0.00E+00,0.00E+00,0.00E+00,1.85E-05,1.87E-05,0.00E+00,
Protein RFS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RFS1 PE=1 SV=1,RFS1 YBR052C YBR0505,P38234,5.15,210,22921.03,0,0,Cytoplasm. Membrane raft. ,FMN binding; cytoplasm; membrane raft; oxidation-reduction process; oxidoreductase activity,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.82E-03,4.93E-04,4.37E-04,1.92E-04,4.16E+00,1.48E-03,3.15E-04,6.91E-04,2.49E-04,2.13E+00,1.46E-03,5.42E-04,7.14E-04,1.56E-04,2.04E+00,
AP-1-like transcription factor YAP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YAP1 PE=1 SV=2,YAP1 PAR1 PDR4 SNQ3 YML007W YM9571.12,P19880,4.8,650,72532.83,0,0,Nucleus. Cytoplasm. ,"cytoplasm; nucleus; positive regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance; regulation of transcription from RNA polymerase II promoter in response to oxidative stress; response to cadmium ion; response to drug; response to heat; response to metal ion; response to singlet oxygen; sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity; transcription, DNA-dependent",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,6.11E-05,5.90E-05,1.12E-04,6.20E-05,5.46E-01,1.78E-05,3.09E-05,4.31E-05,4.43E-05,4.13E-01,3.69E-05,3.20E-05,2.83E-05,4.90E-05,1.30E+00,
Uncharacterized protein YMR086W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR086W PE=1 SV=1,YMR086W YM9582.10,Q04279,9.72,960,105873.68,0,0,Cytoplasm. ,cytoplasm; eisosome,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.33E-05,2.30E-05,0.00E+00,0.00E+00,---,3.79E-05,3.77E-05,0.00E+00,0.00E+00,---,7.47E-05,9.86E-05,9.95E-06,1.72E-05,7.51E+00,
"ATP synthase subunit e, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIM11 PE=1 SV=2",TIM11 ATP21 YDR322C-A YDR322BC,P81449,5.84,96,10744.32,0,0,Mitochondrion. Mitochondrion inner membrane. ,"ATP synthesis coupled proton transport; cristae formation; hydrogen ion transmembrane transporter activity; integral to membrane; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o); protein complex oligomerization; structural molecule activity",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2.06E-03,3.14E-04,1.72E-03,4.56E-04,1.20E+00,3.62E-03,3.09E-04,1.15E-03,3.27E-04,3.14E+00,3.55E-03,1.07E-03,1.56E-03,1.97E-04,2.27E+00,
26S proteasome regulatory subunit RPN2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN2 PE=1 SV=4,RPN2 SEN3 YIL075C,P32565,5.85,945,104100.88,0,0,0,"enzyme regulator activity; nucleus; proteasome assembly; proteasome regulatory particle, base subcomplex; proteasome storage granule; regulation of catalytic activity; regulation of protein catabolic process; ubiquitin-dependent protein catabolic process",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,4.96E-05,4.61E-05,0.00E+00,7.62E-05,7.76E-05,2.88E-05,4.98E-05,2.65E+00,6.34E-05,5.80E-05,4.94E-05,4.49E-05,1.28E+00,
Histidinol-phosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HIS2 PE=1 SV=2,HIS2 YFR025C,P38635,5.55,335,38581.83,3,Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 8/9. ,0,cytoplasm; histidine biosynthetic process; histidinol-phosphatase activity,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5.01E-04,3.24E-04,1.92E-04,4.30E-05,2.61E+00,8.15E-04,3.02E-04,1.91E-04,4.56E-05,4.26E+00,6.18E-04,2.09E-04,2.52E-04,8.55E-05,2.45E+00,
Ferulic acid decarboxylase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FDC1 PE=1 SV=1,FDC1 YDR539W D3703.2,Q03034,5.72,503,56163.9,4,0,Cytoplasm. ,FMN binding; carboxy-lyase activity; cinnamic acid catabolic process; cytoplasm; oxidoreductase activity; plasma membrane; ubiquinone biosynthetic process,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,9.18E-04,7.23E-05,0.00E+00,0.00E+00,---,7.59E-04,1.28E-04,0.00E+00,0.00E+00,---,7.00E-04,3.12E-04,0.00E+00,0.00E+00,---,
MAP-homologous protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MHP1 PE=1 SV=1,MHP1 YJL042W J1206,P43638,6.86,1398,155207.45,0,0,Cytoplasm. Cytoplasm â€º cytoskeleton â€º spindle. ,cytoplasm; fungal-type cell wall organization; microtubule; negative regulation of microtubule depolymerization; spindle; structural constituent of cytoskeleton,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,9.13E-06,1.58E-05,4.67E-05,4.22E-05,1.96E-01,1.75E-05,3.03E-05,1.30E-05,2.25E-05,1.35E+00,8.54E-06,1.48E-05,2.67E-05,1.11E-05,3.20E-01,
General negative regulator of transcription subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MOT2 PE=1 SV=1,MOT2 CCL1 NOT4 SIG1 SSF1 YER068W,P34909,8.29,587,65354.02,0,0,Cytoplasm. Nucleus. ,"CCR4-NOT core complex; RNA binding; cytoplasm; deadenylation-independent decapping of nuclear-transcribed mRNA; nucleotide binding; nucleus; positive regulation of transcription elongation from RNA polymerase II promoter; protein polyubiquitination; sequence-specific DNA binding; transcription, DNA-dependent; ubiquitin-protein ligase activity; zinc ion binding",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4.37E-05,7.57E-05,1.56E-04,5.02E-05,2.80E-01,1.22E-04,3.30E-06,1.09E-04,2.36E-05,1.12E+00,1.84E-04,1.85E-04,7.99E-05,2.77E-05,2.31E+00,
"Cytochrome c oxidase polypeptide VIII, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX8 PE=1 SV=2",COX8 YLR395C L8084.14,P04039,9.73,78,5366.36,1,0,Mitochondrion inner membrane. ,"cytochrome-c oxidase activity; integral to membrane; mitochondrial electron transport, cytochrome c to oxygen; mitochondrial respiratory chain complex IV",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,9.83E-04,9.82E-04,1.07E-03,9.32E-04,9.22E-01,4.14E-03,8.41E-04,1.28E-03,4.94E-04,3.24E+00,3.63E-03,8.32E-04,9.68E-04,5.66E-04,3.75E+00,
"3',5'-cyclic-nucleotide phosphodiesterase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDE1 PE=1 SV=2",PDE1 YGL248W NRB369,P22434,5.75,369,42016.1,3,0,0,"3',5'-cyclic-AMP phosphodiesterase activity; cAMP catabolic process; cAMP-mediated signaling",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,8.96E-04,2.59E-04,2.46E-05,4.27E-05,3.64E+01,3.56E-04,5.09E-05,5.20E-05,9.00E-05,6.85E+00,3.65E-04,1.09E-04,7.53E-05,7.48E-05,4.84E+00,
Serine/threonine-protein kinase STE20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STE20 PE=1 SV=1,STE20 YHL007C,Q03497,6.89,939,102362.2,2,0,Cytoplasm. Nucleus. ,ATP binding; MAP kinase kinase kinase kinase activity; cellular bud site selection; cellular response to heat; cytoplasm; histone serine kinase activity; incipient cellular bud site; invasive growth in response to glucose limitation; mating projection tip; negative regulation of gene expression; nucleus; osmosensory signaling pathway via Sho1 osmosensor; pheromone-dependent signal transduction involved in conjugation with cellular fusion; plasma membrane; positive regulation of apoptotic process; pseudohyphal growth; regulation of exit from mitosis; signal transduction involved in filamentous growth; sterol import; stress granule assembly; vacuole inheritance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2.72E-05,4.71E-05,0.00E+00,0.00E+00,---,0.00E+00,0.00E+00,1.97E-05,1.71E-05,0.00E+00,3.83E-05,3.81E-05,0.00E+00,0.00E+00,---,
Probable aminopeptidase YDR415C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR415C PE=1 SV=1,YDR415C,Q04033,5.4,374,40393.48,3,0,0,aminopeptidase activity; metal ion binding; proteolysis,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5.58E-04,1.96E-04,2.48E-04,1.59E-04,2.25E+00,3.84E-04,1.04E-05,1.70E-04,1.07E-04,2.25E+00,3.23E-04,1.96E-04,2.51E-04,8.71E-05,1.29E+00,
Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BNA6 PE=1 SV=1,BNA6 QPT1 YFR047C,P43619,5.55,295,32364.96,2,Cofactor biosynthesis; NAD(+) biosynthesis; nicotinate D-ribonucleotide from quinolinate: step 1/1. ,Cytoplasm. Nucleus. ,cytoplasm; de novo NAD biosynthetic process from tryptophan; nicotinate-nucleotide diphosphorylase (carboxylating) activity; nucleus,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.34E-03,1.61E-04,0.00E+00,0.00E+00,---,1.26E-03,9.68E-05,9.39E-05,9.22E-05,1.34E+01,7.38E-04,4.32E-04,1.27E-04,5.25E-05,5.83E+00,
Actin cytoskeleton-regulatory complex protein END3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=END3 PE=1 SV=1,END3 YNL084C N2307,P39013,5.23,349,40297.46,0,0,Cell membrane; Peripheral membrane protein; Cytoplasmic side. Endosome membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasm â€º cytoskeleton â€º actin patch. ,actin cortical patch; actin cortical patch assembly; actin filament organization; ascospore wall assembly; bipolar cellular bud site selection; calcium ion binding; endocytosis; endosome membrane; mating projection tip; plasma membrane,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,7.92E-05,2.69E-06,0.00E+00,2.07E-04,1.06E-04,8.04E-05,8.25E-05,2.58E+00,1.03E-04,1.04E-04,8.06E-05,1.50E-06,1.28E+00,
